"basin","forest_cover","basin_area_ha","cellnum","x","y","av_rain_mm","annual_rainGL","propro_forest","propro_uf","annual_runoffGL","sedyld_tons","groupID"
61,0.946536267318663,552.15,17265081,667139.99999999,8153110,2155.50385758044,11.9016145496304,0.398416516011115,0.60955704618431,4.87614952366397,182.023675238274,27
62,0.98521888168662,6983.91,17438359,741959.99999999,8152390,3215.40667880126,224.561108581469,0.548515561520302,0.713969467541111,123.72444781514,4117.96250622761,8
63,0.991241316822712,1191.96,17452360,735029.99999999,8152330,3053.28862347559,36.3939790763796,0.529573957010729,0.701673857383634,19.3281626485738,633.486953850748,6
64,0.972344527900084,12509.64,17466838,742409.99999999,8152270,3019.19895134007,377.690919696418,0.525427986858585,0.698956077821644,200.261918797237,6897.53168413394,8
66,0.965448670146657,1810.35,17601736,733229.99999999,8151700,3008.81689694249,54.4701166937984,0.524153719573183,0.698118763019804,28.8781190864955,1012.1290982332,6
68,0.922410922410922,810.81,17808525,745979.99999999,8150830,2532.42662465862,20.5331683153945,0.459393685144548,0.654149345456071,9.74308276039463,381.603218335214,8
69,0.95379319475705,1359.54,17914792,731789.99999999,8150380,2063.09926507609,28.0486597484154,0.382027557639237,0.596901592833426,10.9938460994844,403.634792329423,6
72,0.964027211960606,4550.94,18192279,730679.99999999,8149210,2632.37714896163,119.797904622954,0.474056619995439,0.664371361269194,57.6111443942882,2035.38330777487,6
76,0.988864518306057,533.43,18264062,749369.99999999,8148910,2638.29920623092,14.0734794557976,0.4749065981157,0.664958705142285,6.71337226279681,221.809914432827,8
80,0.937906137184115,747.9,18563011,751679.99999999,8147650,2158.13830912814,16.1407164139694,0.398875248221931,0.609906759734684,6.6496363680726,253.743628225729,8
81,0.965327785779058,3374.46,18981990,725729.99999999,8145880,2291.06763053701,77.3111607654191,0.421416268134363,0.626807653226652,33.1307425530508,1172.756405141,9
85,0.968217609162491,1885.95,19281708,751109.99999999,8144620,2073.39732413062,39.1032368344414,0.383882883778319,0.598350435489461,15.2776023839017,538.706254745359,8
87,0.980325084337918,3815.01,19430281,725219.99999999,8143990,2441.32003973466,93.1366036478813,0.445493994200294,0.64429451209293,41.8560905329379,1418.49781627313,9
89,0.86395738326809,2230.11,19848165,666419.99999999,8142220,1890.58002202133,42.1620141290999,0.349864831674706,0.571070828040164,16.0198061276942,732.096691540818,7
90,0.816592359471982,1029.51,19876658,667289.99999999,8142100,1851.76078016415,19.0640624078679,0.34234717275679,0.564823503785763,7.30441518004679,366.05974591202,7
