"cells","groupID.1","groupID.2","groupID.3","groupID.4","groupID.5","groupID.6","groupID.7","groupID.8","groupID.9","groupID.10","groupID.11","groupID.12","groupID.13","groupID.14","groupID.15","groupID.16","groupID.17","groupID.18","groupID.19","groupID.20","groupID.21","groupID.22","groupID.23","groupID.24","groupID.25","groupID.26","groupID.27","groupID.28","x","y","wq"
1499,66582.2318900368,85601.9960637231,108391.435001449,163378.992010221,158722.190802016,143067.920235899,52102.6983403906,151606.276022224,134166.865488012,98565.3966335282,61585.2406156419,127970.037660992,75403.2972593805,66836.4464872086,81905.7640032013,88095.450565493,111404.556142671,117766.648086565,150097.25293433,160795.956370534,169529.296506902,173250.207665165,143728.766484187,134476.98495569,183154.889368312,201500.329573162,47283.2116334559,62423.4633078918,624059.322689323,8153779.41724056,0.76198292480847
1500,63366.7048417693,82386.4690154555,105175.907953182,160163.464961954,155506.663753749,139852.393187631,48887.1712921231,148390.748973957,130951.338439745,95349.8695852606,58369.7135673744,124754.510612724,72187.770211113,63620.9194389411,78690.2369549338,84879.9235172255,108189.029094404,114551.121038298,146881.725886063,157580.429322267,166313.769458635,170034.680616897,140513.23943592,131261.457907422,179939.362320045,198284.802524895,44067.6845851883,59207.9362596243,627180.275412642,8153779.41724056,0.762626395992276
1501,60151.1777935018,79170.941967188,101960.380904914,156947.937913687,152291.136705482,136636.866139364,45671.6442438556,145175.22192569,127735.811391477,92134.3425369931,55154.1865191069,121538.983564457,68972.2431628455,60405.3923906735,75474.7099066663,81664.396468958,104973.502046136,111335.59399003,143666.198837795,154364.902274,163098.242410368,166819.15356863,137297.712387653,128045.930859155,176723.835271778,195069.275476628,40852.1575369208,55992.4092113567,630301.22813596,8153779.41724056,0.778229641339882
1503,54122.0645780002,73141.8287516865,95931.2676894126,150918.824698185,146262.02348998,130607.752923862,39642.5310283539,139146.108710188,121706.698175975,86105.2293214915,49125.0733036052,115509.870348955,62943.1299473439,54376.2791751719,69445.5966911647,75635.2832534564,98944.3888306346,105306.480774529,137637.085622294,148335.789058498,157069.129194866,160790.040353129,131268.599172151,122016.817643653,170694.722056276,189040.162261126,34823.0443214192,49963.2959958551,636543.133582597,8153779.41724056,0.74501854822923
1504,50906.5375297326,69926.301703419,92715.7406411451,147703.297649918,143046.496441713,127392.225875595,36427.0039800864,135930.581661921,118491.171127708,82889.702273224,45909.5462553377,112294.343300688,59727.6028990763,51160.7521269043,66230.0696428972,72419.7562051889,95728.8617823671,102090.953726261,134421.558574026,145120.262010231,153853.602146599,157574.513304861,128053.072123884,118801.290595386,167479.195008009,185824.635212859,31607.5172731517,46747.7689475876,639664.086305915,8153779.41724056,0.770964986686603
1505,47691.0104814651,66710.7746551515,89500.2135928776,144487.77060165,139830.969393445,124176.698827327,33211.4769318189,132715.054613653,115275.64407944,79674.1752249565,42694.0192070702,109078.81625242,56512.0758508088,47945.2250786368,63014.5425946297,69204.2291569214,92513.3347340996,98875.4266779937,131206.031525759,141904.734961963,150638.075098331,154358.986256594,124837.545075616,115585.763547118,164263.667959741,182609.108164591,28391.9902248841,43532.24189932,642785.039029234,8153779.41724056,0.817294263851905
1506,44946.386466872,63966.1506405584,86755.5895782845,141743.146587057,137086.345378852,121432.074812734,30466.8529172258,129970.43059906,112531.020064847,76929.5512103634,39949.3951924771,106334.192237827,53296.5488025413,44729.6980303693,59799.0155463622,65988.7021086539,89297.8076858321,95659.8996297262,127990.504477492,138689.207913696,147422.548050064,151143.459208326,121622.018027348,112370.236498851,161048.140911474,179393.581116324,25176.4631766166,40316.7148510525,645905.991752552,8153779.41724056,0.90734241048892
1507,43614.4715533021,62634.2357269885,85423.6746647147,140411.231673488,135754.430465282,120100.159899164,29134.9380036559,128638.51568549,111199.105151278,75597.6362967935,38617.4802789071,105002.277324257,50081.0217542737,41514.1709821017,56583.4884980946,62773.1750603864,86082.2806375646,92444.3725814587,124774.977429224,135473.680865428,144207.021001796,147927.932160059,118406.490979081,109154.709450583,157832.613863207,176178.054068056,21960.9361283491,37101.1878027849,649026.944475871,8153779.41724056,0.826874121314117
1509,41117.1310903585,60136.8952640449,82926.3342017713,137913.891210544,133257.090002339,117602.819436221,26637.5975407123,126141.175222547,108701.764688334,73100.2958338501,36120.1398159636,102504.936861314,44051.9085387721,35485.0577666001,50554.375282593,56744.0618448848,80053.1674220631,86415.2593659572,118745.864213722,129444.567649927,138177.907786295,141898.818944557,112377.377763579,103125.596235082,151803.500647705,170148.940852555,15931.8229128475,31072.0745872833,655268.849922508,8153779.41724056,0.859070117513928
1511,42116.0672755359,61135.8314492223,83925.2703869487,138912.827395721,134256.026187516,118601.755621398,27636.5337258897,127140.111407724,109700.700873512,74099.2320190275,37119.076001141,103503.873046491,39975.369610609,31408.5188384371,46477.83635443,52667.5229167217,75976.6284939002,82338.7204377943,114669.32528556,125368.028721764,134101.368858132,137822.280016395,108300.838835416,99049.0573069188,147726.961719542,166072.401924392,10285.6072057699,26995.5356591203,661510.755369145,8153779.41724056,1.06289461949745
